league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
ENG-Premier League,2627,Brentford,Fabio Carvalho,1,2026,244,9501,S,1,2,1,0.5489259362220764,1,0.5489259362220764,0,0.0,1,0,0,0,0.5489259362220764,0.0
ENG-Premier League,2627,Brentford,Jaidon Anthony,1,2026,244,10746,M S,5,270,1,0.9835657700896263,1,0.9835657700896263,0,0.4255058653652668,5,7,1,0,0.6662124115973711,0.2507753763347864
ENG-Premier League,2627,Brentford,Jannik Schuster,1,2026,244,14788,D S,3,254,0,0.10856363922357559,0,0.10856363922357559,1,0.832377552986145,1,1,0,0,0.22656644880771637,0.22656644880771637
ENG-Premier League,2627,Brentford,Keane Lewis-Potter,1,2026,244,10809,D,5,418,1,1.1509940521791577,1,1.1509940521791577,1,0.7646497022360563,9,7,0,0,1.6276894211769104,0.9401073902845383
ENG-Premier League,2627,Brentford,Kevin Schade,1,2026,244,9156,M,5,450,3,1.6469795405864716,3,1.6469795405864716,0,0.13687784038484097,13,3,0,0,2.3191302716732025,0.6257321536540985
ENG-Premier League,2627,Brentford,Kristoffer Ajer,1,2026,244,9677,D,5,450,0,0.1272055171430111,0,0.1272055171430111,0,0.15735463798046112,2,3,1,0,1.7250148057937622,1.5965384766459465
ENG-Premier League,2627,Brentford,Mamadou Sangaré,1,2026,244,13917,M S,5,331,0,0.36619820073246956,0,0.36619820073246956,1,0.624411441385746,6,4,2,0,1.9323826134204865,1.6926967427134514
ENG-Premier League,2627,Brentford,Mathias Jensen,1,2026,244,7166,M,1,68,0,0.08744654059410095,0,0.08744654059410095,0,0.5949914455413818,2,3,0,0,0.6761671900749207,0.6374379396438599
ENG-Premier League,2627,Brentford,Michael Kayode,1,2026,244,11281,D S,5,304,1,0.8559175711125135,1,0.8559175711125135,0,0.11610208079218864,6,2,0,0,0.6770742237567902,0.6194151043891907
ENG-Premier League,2627,Brentford,Mikkel Damsgaard,1,2026,244,8859,M S,5,287,0,0.13882041536271572,0,0.13882041536271572,0,1.0265097618103027,4,7,0,0,1.1519005708396435,0.6035692300647497
ENG-Premier League,2627,Brentford,Nathan Collins,1,2026,244,9733,D,3,196,0,0.6079705432057381,0,0.6079705432057381,0,0.07220009155571461,5,3,1,0,0.866667777299881,0.8238366693258286
ENG-Premier League,2627,Brentford,Rico Henry,1,2026,244,9679,S,1,1,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
ENG-Premier League,2627,Brentford,Thiago,1,2026,244,13222,F,5,444,1,3.05342335999012,1,2.2922544926404953,0,0.06584580987691879,13,2,2,0,2.411235526204109,0.06407258100807667
ENG-Premier League,2627,Brentford,Vitaly Janelt,1,2026,244,9680,M,5,450,2,0.8616216434165835,2,0.8616216434165835,0,0.16859126091003418,4,5,3,0,2.528997592628002,1.6294672638177872
ENG-Premier League,2627,Brentford,Yehor Yarmolyuk,1,2026,244,11772,M S,5,212,0,0.06794497929513454,0,0.06794497929513454,1,0.41937655583024025,3,3,1,0,1.151023805141449,0.7303898930549622
ENG-Premier League,2627,Brighton,Bart Verbruggen,1,2026,220,11711,GK,5,450,0,0.0,0,0.0,0,0.0,0,0,0,0,1.7183992341160774,1.7183992341160774
ENG-Premier League,2627,Brighton,Charalampos Kostoulas,1,2026,220,14118,F S,5,355,2,1.7747207581996918,2,1.7747207581996918,1,0.06891079992055893,13,2,1,0,2.740635961294174,1.0416297614574432
ENG-Premier League,2627,Brighton,Chema Andres,1,2026,220,13078,M S,2,110,1,0.5504021178930998,1,0.5504021178930998,1,0.020308176055550575,3,1,0,0,0.32447728514671326,0.2851768061518669
ENG-Premier League,2627,Brighton,Costinha,1,2026,220,14854,S,5,58,0,0.051982853561639786,0,0.051982853561639786,0,0.06985709071159363,2,1,1,0,0.47086863964796066,0.37708448618650436
ENG-Premier League,2627,Brighton,Diego Gómez,1,2026,220,13364,M,5,442,0,1.2188748344779015,0,1.2188748344779015,2,1.2784412428736687,14,7,0,0,2.7647382467985153,0.7494966387748718
ENG-Premier League,2627,Brighton,Ferdi Kadioglu,1,2026,220,13066,D,4,336,0,0.12056861259043217,0,0.12056861259043217,0,0.45194313395768404,4,4,1,0,0.9377444572746754,0.5898935794830322
ENG-Premier League,2627,Brighton,Georginio Rutter,1,2026,220,6937,F S,2,103,0,0.13637321442365646,0,0.13637321442365646,1,0.9075709581375122,3,1,0,0,1.624579131603241,0.7004402652382851
ENG-Premier League,2627,Brighton,Ibrahim Osman,1,2026,220,13792,S,3,32,0,0.1361042708158493,0,0.1361042708158493,0,0.02805580012500286,2,1,0,0,0.4480753391981125,0.3776165172457695
ENG-Premier League,2627,Brighton,Jack Hinshelwood,1,2026,220,11269,M,1,69,2,1.401410698890686,2,1.401410698890686,0,0.10088619589805603,3,1,0,0,1.6856542825698853,0.183357372879982
ENG-Premier League,2627,Brighton,Lewis Dunk,1,2026,220,6048,D,4,360,1,0.020308176055550575,1,0.020308176055550575,0,0.0,1,0,1,0,3.1171372309327126,3.0968290343880653
ENG-Premier League,2627,Brighton,Luka Vuskovic,1,2026,220,13725,D,5,439,1,0.9004770889878273,1,0.9004770889878273,0,0.0,8,0,0,0,2.0772898625582457,1.9494231343269348
ENG-Premier League,2627,Brighton,Malick Yalcouyé,1,2026,220,14856,M S,5,237,2,1.4396155551075935,2,1.4396155551075935,0,0.9637800054624677,7,5,0,0,3.401956409215927,0.9985608346760273
ENG-Premier League,2627,Brighton,Mats Wieffer,1,2026,220,12758,D,2,165,0,0.11586891487240791,0,0.11586891487240791,0,0.0733533576130867,2,2,0,0,1.4131770431995392,1.276841014623642
ENG-Premier League,2627,Brighton,Matt O'Riley,1,2026,220,13206,S,2,8,0,0.5785816311836243,0,0.5785816311836243,0,0.029219595715403557,1,1,0,0,0.6078012268990278,0.0
ENG-Premier League,2627,Brighton,Maxim De Cuyper,1,2026,220,13711,M,5,431,1,1.4765554461628199,1,1.4765554461628199,2,1.1626487132161856,7,11,2,0,3.8455430045723915,1.8817783668637276
